Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Machine)",1,70.0,12,0,0,"","",
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Machine)",2,70.0,10,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Machine)",3,70.0,3,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Machine)",4,70.0,2,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Machine)",5,70.0,2,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Triceps Extension",1,80.0,12,0,0,"",,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Triceps Extension",2,80.0,12,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Triceps Extension",3,80.0,12,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Triceps Extension",4,80.0,12,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Triceps Extension",5,80.0,12,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Bicep Curl (Machine)",1,40.0,12,0,0,"",,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Bicep Curl (Machine)",2,40.0,12,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Bicep Curl (Machine)",3,40.0,4,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Bicep Curl (Machine)",4,40.0,3,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Bicep Curl (Machine)",5,40.0,2,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Plate Loaded)",1,35.0,12,0,0,"",,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Plate Loaded)",2,35.0,8,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Plate Loaded)",3,35.0,6,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Plate Loaded)",4,35.0,4,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Shoulder Press (Plate Loaded)",5,35.0,3,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Reverse Curl (Barbell)",1,40.0,10,0,0,"",,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Reverse Curl (Barbell)",2,40.0,10,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Reverse Curl (Barbell)",3,40.0,10,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Reverse Curl (Barbell)",4,40.0,10,0,0,,,
2023-01-27 16:39:50,"(tri,bi)cep & forearm ",8m,"Reverse Curl (Barbell)",5,40.0,10,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Press (Machine)",1,85.0,12,0,0,"","",
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Press (Machine)",2,85.0,12,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Press (Machine)",3,85.0,8,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Press (Machine)",4,85.0,6,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Fly",1,50.0,8,0,0,"",,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Fly",2,50.0,9,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Fly",3,50.0,8,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Chest Fly",4,50.0,8,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Bench Press (Smith Machine)",1,25.0,12,0,0,"",,
2023-01-31 20:16:38,"Chest and Core ",25m,"Bench Press (Smith Machine)",2,25.0,7,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Bench Press (Smith Machine)",3,25.0,6,0,0,,,
2023-01-31 20:16:38,"Chest and Core ",25m,"Bench Press (Smith Machine)",4,25.0,7,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hip Abductor (Machine)",1,115.0,12,0,0,"","",
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hip Abductor (Machine)",2,115.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hip Abductor (Machine)",3,115.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hip Abductor (Machine)",4,115.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Seated Leg Press (Machine)",1,130.0,12,0,0,"",,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Seated Leg Press (Machine)",2,130.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Seated Leg Press (Machine)",3,130.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Seated Leg Press (Machine)",4,130.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Leg Extension (Machine)",1,70.0,12,0,0,"",,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Leg Extension (Machine)",2,70.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Leg Extension (Machine)",3,70.0,10,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Leg Extension (Machine)",4,70.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Calf Press on Seated Leg Press",1,160.0,12,0,0,"",,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Calf Press on Seated Leg Press",2,160.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Calf Press on Seated Leg Press",3,160.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Calf Press on Seated Leg Press",4,160.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hack Squat",1,90.0,12,0,0,"",,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hack Squat",2,90.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hack Squat",3,90.0,12,0,0,,,
2023-02-01 06:08:55,"Early Morning Workout",37m,"Hack Squat",4,90.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Machine)",1,80.0,12,0,0,"","",
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Machine)",2,80.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Machine)",3,80.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Machine)",4,80.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Machine)",5,80.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Seated Row (Machine)",1,50.0,12,0,0,"",,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Seated Row (Machine)",2,50.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Seated Row (Machine)",3,50.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Seated Row (Machine)",4,50.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Iso Lateral High row",1,110.0,12,0,0,"",,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Iso Lateral High row",2,110.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Iso Lateral High row",3,110.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Iso Lateral High row",4,110.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"iso lateral low row",1,70.0,12,0,0,"",,
2023-02-02 06:09:50,"Early Morning Workout",47m,"iso lateral low row",2,70.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"iso lateral low row",3,70.0,9,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"iso lateral low row",4,70.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Cable)",1,85.0,12,0,0,"",,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Cable)",2,85.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Cable)",3,85.0,12,0,0,,,
2023-02-02 06:09:50,"Early Morning Workout",47m,"Lat Pulldown (Cable)",4,85.0,9,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Machine)",1,70.0,12,0,0,"","",
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Machine)",2,70.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Machine)",3,70.0,4,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Machine)",4,70.0,4,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Machine)",5,70.0,3,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Triceps Extension",1,80.0,12,0,0,"",,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Triceps Extension",2,80.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Triceps Extension",3,80.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Triceps Extension",4,80.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Triceps Extension",5,80.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Bicep Curl (Machine)",1,40.0,12,0,0,"",,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Bicep Curl (Machine)",2,40.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Bicep Curl (Machine)",3,40.0,7,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Bicep Curl (Machine)",4,40.0,4,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Bicep Curl (Machine)",5,40.0,3,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Plate Loaded)",1,35.0,12,0,0,"35lb each side ",,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Plate Loaded)",2,35.0,12,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Plate Loaded)",3,35.0,9,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Plate Loaded)",4,35.0,5,0,0,,,
2023-02-03 06:08:06,"(Tri,bi)cep & forearm",40m,"Shoulder Press (Plate Loaded)",5,35.0,3,0,0,,,
2023-02-06 06:05:19,"Early Morning Workout",31m,"stair climber ",1,0,0,0.61,1800,"","",
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Press (Machine)",1,85.0,12,0,0,"","",
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Press (Machine)",2,85.0,12,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Press (Machine)",3,85.0,12,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Press (Machine)",4,85.0,6,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Press (Machine)",5,85.0,6,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Fly",1,50.0,8,0,0,"",,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Fly",2,50.0,8,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Fly",3,50.0,5,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Fly",4,50.0,6,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Chest Fly",5,50.0,5,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Incline Chest Press (Machine)",1,35.0,12,0,0,"",,
2023-02-07 06:06:45,"Chest and Core ",49m,"Incline Chest Press (Machine)",2,35.0,8,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Incline Chest Press (Machine)",3,35.0,8,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Incline Chest Press (Machine)",4,35.0,5,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Incline Chest Press (Machine)",5,35.0,6,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Bench Press (Smith Machine)",1,25.0,12,0,0,"",,
2023-02-07 06:06:45,"Chest and Core ",49m,"Bench Press (Smith Machine)",2,25.0,7,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Bench Press (Smith Machine)",3,25.0,3,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Bench Press (Smith Machine)",4,25.0,5,0,0,,,
2023-02-07 06:06:45,"Chest and Core ",49m,"Bench Press (Smith Machine)",5,25.0,4,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Machine)",1,70.0,11,0,0,"","",
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Machine)",2,70.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Machine)",3,70.0,4,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Machine)",4,70.0,3,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Machine)",5,70.0,4,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Triceps Extension",1,90.0,12,0,0,"",,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Triceps Extension",2,90.0,12,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Triceps Extension",3,90.0,10,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Triceps Extension",4,90.0,10,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Triceps Extension",5,90.0,10,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Bicep Curl (Machine)",1,40.0,12,0,0,"",,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Bicep Curl (Machine)",2,40.0,12,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Bicep Curl (Machine)",3,40.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Bicep Curl (Machine)",4,40.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Bicep Curl (Machine)",5,40.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Plate Loaded)",1,35.0,5,0,0,"",,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Plate Loaded)",2,35.0,9,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Plate Loaded)",3,35.0,4,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Plate Loaded)",4,35.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Shoulder Press (Plate Loaded)",5,35.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Reverse Curl (Barbell)",1,30.0,10,0,0,"",,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Reverse Curl (Barbell)",2,30.0,10,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Reverse Curl (Barbell)",3,30.0,8,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Reverse Curl (Barbell)",4,30.0,5,0,0,,,
2023-02-08 06:10:25,"(Tri,bi)cep & forearm",48m,"Reverse Curl (Barbell)",5,30.0,5,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hip Abductor (Machine)",1,115.0,12,0,0,"try 120lb next time ","",
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hip Abductor (Machine)",2,115.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hip Abductor (Machine)",3,115.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hip Abductor (Machine)",4,115.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hip Abductor (Machine)",5,115.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",1,160.0,12,0,0,"",,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",2,160.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",3,160.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",4,160.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",5,160.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Leg Extension (Machine)",1,70.0,12,0,0,"",,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Leg Extension (Machine)",2,70.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Leg Extension (Machine)",3,70.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Leg Extension (Machine)",4,70.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hack Squat",1,45.0,12,0,0,"",,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hack Squat",2,45.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hack Squat",3,45.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Hack Squat",4,45.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",1,160.0,12,0,0,"",,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",2,160.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",3,160.0,12,0,0,,,
2023-02-09 06:12:28,"Early Morning Workout",44m,"Calf Press on Seated Leg Press",4,160.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Machine)",1,80.0,12,0,0,"","",
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Machine)",2,80.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Machine)",3,80.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Machine)",4,80.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Machine)",5,80.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Seated Row (Machine)",1,50.0,12,0,0,"",,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Seated Row (Machine)",2,50.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Seated Row (Machine)",3,50.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Seated Row (Machine)",4,50.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"iso lateral low row",1,35.0,12,0,0,"",,
2023-02-14 06:08:10,"Early Morning Workout",43m,"iso lateral low row",2,35.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"iso lateral low row",3,35.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"iso lateral low row",4,35.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Cable)",1,80.0,12,0,0,"",,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Cable)",2,80.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Cable)",3,80.0,12,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Cable)",4,80.0,9,0,0,,,
2023-02-14 06:08:10,"Early Morning Workout",43m,"Lat Pulldown (Cable)",5,80.0,9,0,0,,,
2023-02-15 20:09:03,"Evening Workout",43m,"stair climber ",1,0,0,0.31,15,"","",
2023-02-15 20:09:03,"Evening Workout",43m,"Rock climbing ",1,0,0,0,1200,"",,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Press (Machine)",1,85.0,12,0,0,"","",
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Press (Machine)",2,85.0,12,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Press (Machine)",3,85.0,9,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Press (Machine)",4,85.0,8,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Press (Machine)",5,85.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Fly",1,50.0,8,0,0,"",,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Fly",2,50.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Fly",3,50.0,5,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Fly",4,50.0,5,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Chest Fly",5,50.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Incline Chest Press (Machine)",1,35.0,12,0,0,"",,
2023-02-16 06:09:18,"Chest and Core ",47m,"Incline Chest Press (Machine)",2,35.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Incline Chest Press (Machine)",3,35.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Incline Chest Press (Machine)",4,35.0,8,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Incline Chest Press (Machine)",5,35.0,7,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Bench Press (Smith Machine)",1,25.0,12,0,0,"",,
2023-02-16 06:09:18,"Chest and Core ",47m,"Bench Press (Smith Machine)",2,25.0,8,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Bench Press (Smith Machine)",3,25.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Bench Press (Smith Machine)",4,25.0,6,0,0,,,
2023-02-16 06:09:18,"Chest and Core ",47m,"Bench Press (Smith Machine)",5,25.0,5,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Machine)",1,70.0,12,0,0,"","",
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Machine)",2,70.0,10,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Machine)",3,70.0,4,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Machine)",4,70.0,4,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Machine)",5,70.0,3,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Triceps Extension",1,90.0,12,0,0,"",,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Triceps Extension",2,90.0,12,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Triceps Extension",3,90.0,12,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Triceps Extension",4,90.0,10,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Triceps Extension",5,90.0,8,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Bicep Curl (Machine)",1,45.0,9,0,0,"",,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Bicep Curl (Machine)",2,40.0,6,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Bicep Curl (Machine)",3,45.0,4,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Bicep Curl (Machine)",4,45.0,3,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Bicep Curl (Machine)",5,45.0,2,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Plate Loaded)",1,35.0,12,0,0,"",,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Plate Loaded)",2,35.0,10,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Plate Loaded)",3,35.0,7,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Plate Loaded)",4,35.0,6,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Shoulder Press (Plate Loaded)",5,35.0,6,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Reverse Curl (Barbell)",1,30.0,10,0,0,"",,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Reverse Curl (Barbell)",2,30.0,10,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Reverse Curl (Barbell)",3,30.0,6,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Reverse Curl (Barbell)",4,30.0,4,0,0,,,
2023-02-21 06:11:23,"(Tri,bi)cep & forearm",47m,"Reverse Curl (Barbell)",5,30.0,5,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Hip Abductor (Machine)",1,115.0,12,0,0,"","",
2023-02-23 06:20:08,"Upper & lower legs",41m,"Hip Abductor (Machine)",2,115.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Hip Abductor (Machine)",3,115.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Hip Abductor (Machine)",4,115.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Hip Abductor (Machine)",5,115.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Calf Press on Seated Leg Press",1,160.0,12,0,0,"",,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Calf Press on Seated Leg Press",2,160.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Calf Press on Seated Leg Press",3,160.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Calf Press on Seated Leg Press",4,160.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Calf Press on Seated Leg Press",5,160.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Leg Extension (Machine)",1,70.0,12,0,0,"",,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Leg Extension (Machine)",2,70.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Leg Extension (Machine)",3,70.0,6,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Leg Extension (Machine)",4,70.0,12,0,0,,,
2023-02-23 06:20:08,"Upper & lower legs",41m,"Hack Squat",1,45.0,12,0,0,"",,
